Feature,Split,Model,Mean_Abs_SHAP
Circumstance_All other manslaughter by negligence,0,XGBoost,0.0018051336519420147
Circumstance_All suspected felony type,0,XGBoost,0.04907522723078728
Circumstance_Argument over money or property,0,XGBoost,0.05445535480976105
Circumstance_Arson,0,XGBoost,0.008652502670884132
Circumstance_Brawl due to influence of alcohol,0,XGBoost,0.046094346791505814
Circumstance_Brawl due to influence of narcotics,0,XGBoost,0.004940510727465153
Circumstance_Burglary,0,XGBoost,0.002814974170178175
Circumstance_Child killed by babysitter,0,XGBoost,0.0035961780231446028
Circumstance_Circumstances undetermined,0,XGBoost,0.726441502571106
Circumstance_Felon killed by police,0,XGBoost,0.057342279702425
Circumstance_Felon killed by private citizen,0,XGBoost,0.06851902604103088
Circumstance_Gambling,0,XGBoost,0.003046459285542369
Circumstance_Gangland killings,0,XGBoost,0.010793943889439106
Circumstance_Institutional killings,0,XGBoost,0.0018080121371895075
Circumstance_Juvenile gang killings,0,XGBoost,0.021027369424700737
Circumstance_Larceny,0,XGBoost,0.001311573083512485
Circumstance_Lovers triangle,0,XGBoost,0.059112194925546646
Circumstance_Motor vehicle theft,0,XGBoost,0.0005449859891086817
Circumstance_Narcotic drug laws,0,XGBoost,0.013110090047121048
Circumstance_Other,0,XGBoost,0.09244266152381897
Circumstance_Other - not specified,0,XGBoost,0.024099333211779594
Circumstance_Other arguments,0,XGBoost,0.48583984375
Circumstance_Other negligent handling of gun,0,XGBoost,0.0007614497444592416
Circumstance_Other sex offense,0,XGBoost,0.0009677273919805884
Circumstance_Prostitution and commercialized vice,0,XGBoost,0.00011290441761957482
Circumstance_Rape,0,XGBoost,0.002779825124889612
Circumstance_Robbery,0,XGBoost,0.03627792373299599
Circumstance_Sniper attack,0,XGBoost,0.0010534217581152916
Year,1,Random Forest,0.004148843797631127
VicAge,1,Random Forest,0.004812513841690576
VicCount,1,Random Forest,0.0006992184167431445
OffCount,1,Random Forest,0.03626162176170128
Monthly_Overlap,1,Random Forest,0.022415863986822816
FTSWORN,1,Random Forest,0.007773124859369377
PTSWORN,1,Random Forest,0.0009769810348492162
TOTFTEMP,1,Random Forest,0.012104227514127193
OPBUDGET,1,Random Forest,0.013357378420868418
DET_SWN,1,Random Forest,0.00813830221166019
PERS_TRN_ACAD,1,Random Forest,0.0037317084778969575
PERS_TRN_INSVC,1,Random Forest,0.0017795418324231102
